rank,id,score,time
1,john,1080,2024-04-27T16:47:47
2,paul,1060,2024-04-27T16:48:52
3,george,670,2024-04-27T16:50:10
4,jyc,220,2024-04-27T16:46:11
5,ringo,80,2024-04-27T16:50:30
