rank,id,score,time
1,,4700,2024-05-26T17:03:35
2,Mr.White,2830,2024-05-17T15:25:56
3,my Name,2810,2024-05-25T20:58:25
4,null,2040,2024-05-21T20:34:01
5,Jackson,1790,2024-05-26T16:44:37
6,Mr.white,1490,2024-05-26T16:41:53
7,Wayne,1250,2024-05-14T23:50:58
8,lennon,1230,2024-05-26T16:59:31
9,coltrane,1120,2024-05-11T16:44:18
10,john,990,2024-05-11T16:37:37
11,null,550,2024-05-14T22:52:15
12,Mr.blue,240,2024-05-21T04:19:58
13,null,210,2024-05-14T14:34:42
14,Shorter,200,2024-05-21T04:17:48
