rank,id,score,time
1,Daft punk,31320,2024-05-21T20:45:38
2,daft punk,15120,2024-05-26T17:12:49
3,dre,8340,2024-05-17T20:25:50
4,Tom,7110,2024-05-26T16:47:46
5,null,6930,2024-05-21T21:50:02
6,king,6730,2024-05-17T15:21:40
7,charles,5900,2024-05-17T21:48
8,duke,5570,2024-05-25T21:01:19
9,walrus,4790,2024-05-25T23:14:37
10,king,4200,2024-05-25T23:02:30
11,james,4170,2024-05-21T03:47:07
12,John,3640,2024-05-26T16:19:39
13,jyc,3200,2024-05-21T21:40:18
14,john,2480,2024-05-11T21:26:52
15,MF doom,2240,2024-05-17T20:46:34
16,davis,2050,2024-05-15T09:31:22
17,null,1930,2024-05-21T21:42:39
18,null,1790,2024-05-17T21:32:56
19,david,1450,2024-05-11T16:29:17
20,mingus,570,2024-05-15T09:40:28
21,vivaldi,280,2024-05-21T05:51:46
22,mother,100,2024-05-15T09:39:02
